conditions,pretrained_colour,pretrained_grey,untrained_colour,untrained_grey
"('densenet121', 0.0005, 32)",0.956,0.931,0.877,0.893
"('resnet50-wide', 0.001, 0.99, 32)",0.956,0.931,0.927,0.885
"('resnet34', 0.001, 0.99, 32)",0.955,0.932,0.935,0.89
"('densenet121', 0.001, 0.99, 32)",0.955,0.832,0.938,0.888
"('resnet50-wide', 0.001, 0.99, 64)",0.955,0.937,0.932,0.872
"('resnet18', 0.0005, 64)",0.954,0.922,0.856,0.847
"('resnet18', 0.001, 0.99, 64)",0.954,0.93,0.94,0.883
"('densenet121', 0.0005, 0.99, 64)",0.954,0.934,0.934,0.883
"('densenet121', 0.001, 0.99, 64)",0.954,0.931,0.939,0.891
"('resnet50', 0.001, 0.99, 64)",0.954,0.932,0.931,0.871
"('resnet50', 0.0005, 0.99, 64)",0.954,0.934,0.932,0.869
"('resnet34', 0.0001, 64)",0.954,0.926,0.888,0.809
"('resnet18', 0.0005, 32)",0.954,0.924,0.907,0.907
"('resnet50-wide', 0.0001, 0.99, 32)",0.954,0.929,,
"('resnet18', 0.001, 0.99, 32)",0.954,0.923,0.943,0.903
"('resnet50', 0.001, 0.95, 64)",0.953,0.932,0.927,0.858
"('resnet50', 0.001, 0.99, 32)",0.953,0.93,0.93,0.872
"('resnet18', 0.0005, 0.99, 64)",0.953,0.932,0.939,0.879
"('resnet50', 0.0001, 64)",0.953,0.91,0.842,0.863
"('resnet50-wide', 0.001, 0.95, 64)",0.952,0.933,0.932,0.868
"('resnet50-wide', 0.0001, 0.99, 64)",0.952,0.926,0.928,0.866
"('resnet34', 0.001, 0.95, 64)",0.952,0.928,0.935,0.874
"('resnet34', 0.0005, 0.99, 64)",0.952,0.933,0.937,0.885
"('convnext-base', 0.001, 0.99, 32)",0.951,0.924,0.5,0.5
"('resnet50-wide', 0.0005, 0.99, 64)",0.951,0.931,0.931,0.874
"('densenet121', 0.0001, 32)",0.951,0.926,0.899,0.834
"('resnet18', 0.0001, 0.99, 32)",0.951,0.922,,0.868
"('resnet34', 0.001, 0.99, 64)",0.95,0.935,0.938,0.889
"('vitb16', 0.001, 0.9, 64)",0.95,0.933,0.879,0.788
"('convnext-base', 0.0001, 32)",0.95,,0.504,0.5
"('resnet50', 0.0001, 32)",0.95,0.931,0.896,0.831
"('resnet34', 0.001, 0.9, 64)",0.95,0.924,0.93,0.871
"('resnet34', 0.0005, 64)",0.95,0.922,0.923,0.908
"('densenet121', 0.0001, 0.99, 32)",0.95,0.928,,
"('resnet50-wide', 0.001, 0.9, 64)",0.949,0.927,0.921,0.856
"('densenet121', 0.001, 0.95, 64)",0.949,0.929,0.928,0.874
"('resnet50', 0.0005, 0.9, 32)",0.949,0.925,,0.849
"('resnet50', 0.0001, 0.99, 64)",0.949,0.924,0.928,0.867
"('vitb16', 0.001, 0.95, 64)",0.949,0.94,0.88,0.793
"('resnet34', 0.0005, 0.9, 32)",0.948,0.923,,0.865
"('resnet50', 0.0005, 0.9, 64)",0.948,0.916,0.92,0.835
"('convnext-tiny', 0.001, 0.95, 64)",0.948,0.924,0.621,0.5
"('resnet50-wide', 0.0005, 0.9, 32)",0.948,0.928,,
"('resnet50', 0.0001, 0.99, 32)",0.948,0.926,,0.86
"('resnet50-wide', 0.0001, 32)",0.948,0.931,0.868,0.801
"('resnet18', 0.001, 0.95, 64)",0.948,0.923,0.937,0.868
"('densenet121', 0.0001, 64)",0.948,0.936,0.91,0.817
"('resnet34', 0.0001, 0.99, 32)",0.948,0.927,,0.872
"('densenet121', 0.001, 0.9, 64)",0.948,0.929,0.928,0.86
"('convnext-tiny', 0.001, 0.99, 64)",0.947,0.917,0.5,0.5
"('densenet121', 0.001, 64)",0.947,0.943,0.842,0.857
"('vitb16', 0.0001, 0.99, 64)",0.947,0.931,0.899,0.807
"('resnet50', 0.001, 0.9, 64)",0.947,0.923,0.925,0.85
"('densenet121', 0.0005, 0.9, 32)",0.947,0.923,,
"('convnext-tiny', 0.0001, 32)",0.946,0.925,0.5,0.5
"('resnet34', 0.0001, 0.99, 64)",0.946,0.92,0.938,0.881
"('resnet18', 0.0001, 0.99, 64)",0.946,0.918,0.928,0.876
"('resnet18', 0.0001, 32)",0.945,0.919,0.921,0.881
"('vitb16', 0.0001, 0.95, 32)",0.945,0.927,,0.773
"('resnet34', 0.0001, 32)",0.945,0.931,0.892,0.86
"('densenet121', 0.0001, 0.99, 64)",0.944,0.923,0.928,0.876
"('resnet50-wide', 0.0005, 0.9, 64)",0.944,0.919,,0.842
"('densenet121', 0.0005, 64)",0.944,0.936,0.887,0.845
"('convnext-base', 0.001, 0.99, 64)",0.944,0.925,0.5,0.5
"('resnet18', 0.0005, 0.9, 32)",0.944,0.919,,0.862
"('resnet34', 0.0005, 32)",0.944,0.927,0.889,0.861
"('resnet18', 0.001, 0.9, 64)",0.943,0.917,0.93,0.862
"('vitb16', 0.0001, 0.9, 64)",0.943,0.918,0.87,0.578
"('convnext-base', 0.001, 0.95, 64)",0.943,0.922,0.642,0.5
"('convnext-base', 0.0001, 64)",0.943,0.93,0.507,0.5
"('densenet121', 0.0005, 0.9, 64)",0.942,0.917,0.927,0.866
"('resnet34', 0.0001, 0.95, 32)",0.941,0.907,,0.847
"('convnext-tiny', 0.0001, 0.95, 32)",0.941,0.899,,
"('resnet18', 0.0001, 64)",0.941,0.917,0.889,0.841
"('convnext-base', 0.0001, 0.99, 64)",0.94,0.907,0.648,0.552
"('convnext-tiny', 0.001, 0.99, 32)",0.94,0.5,0.5,0.5
"('resnet50-wide', 0.0001, 0.95, 32)",0.94,0.917,,
"('resnet34', 0.0005, 0.9, 64)",0.94,0.915,0.906,0.868
"('densenet121', 0.0001, 0.95, 32)",0.94,0.912,,
"('convnext-tiny', 0.001, 0.9, 64)",0.94,0.916,0.636,0.536
"('vitb16', 0.0001, 0.9, 32)",0.939,0.918,,
"('convnext-tiny', 0.0001, 64)",0.939,0.928,0.503,0.5
"('convnext-tiny', 0.0005, 64)",0.939,0.906,0.5,0.5
"('resnet50-wide', 0.0001, 0.95, 64)",0.939,0.896,0.914,0.836
"('convnext-tiny', 0.0001, 0.99, 64)",0.939,0.911,0.627,0.501
"('convnext-base', 0.001, 0.9, 64)",0.939,0.911,0.618,0.5
"('convnext-base', 0.0005, 0.9, 64)",0.939,0.913,,0.502
"('resnet50-wide', 0.0001, 64)",0.938,0.925,0.912,0.858
"('vitb16', 0.0001, 64)",0.938,0.922,0.897,0.82
"('resnet50', 0.0001, 0.95, 32)",0.938,0.911,,0.831
"('vitb16', 0.001, 0.99, 64)",0.938,0.932,0.5,0.5
"('resnet50', 0.0005, 32)",0.937,0.933,0.875,0.906
"('vitb16', 0.001, 0.99, 32)",0.937,0.871,0.5,0.5
"('resnet18', 0.0005, 0.9, 64)",0.937,0.91,0.916,0.866
"('convnext-base', 0.0005, 64)",0.937,0.901,0.5,0.5
"('convnext-base', 0.0001, 0.95, 32)",0.937,0.898,,
"('convnext-base', 0.001, 64)",0.936,0.527,0.5,0.5
"('resnet34', 0.001, 32)",0.936,0.931,0.906,0.862
"('resnet18', 0.001, 64)",0.934,0.903,0.915,0.84
"('resnet50', 0.0001, 0.9, 32)",0.934,0.893,,
"('resnet34', 0.0001, 0.9, 64)",0.934,0.895,0.892,0.838
"('resnet50', 0.0001, 0.95, 64)",0.934,0.896,0.91,0.829
"('convnext-base', 0.0001, 0.95, 64)",0.933,0.89,0.666,0.531
"('resnet50-wide', 0.0001, 0.9, 32)",0.933,0.902,,
"('resnet34', 0.001, 64)",0.933,0.929,0.858,0.868
"('resnet50', 0.0001, 0.9, 64)",0.933,0.892,0.886,0.799
"('resnet18', 0.0001, 0.95, 32)",0.932,0.901,,0.855
"('resnet34', 0.0001, 0.95, 64)",0.932,0.892,0.888,0.854
"('convnext-base', 0.0005, 32)",0.932,,0.5,
"('densenet121', 0.0001, 0.9, 64)",0.931,0.898,0.904,0.822
"('densenet121', 0.0001, 0.95, 64)",0.931,0.894,0.921,0.851
"('vitb16', 0.0001, 32)",0.931,0.922,0.729,0.826
"('resnet34', 0.0001, 0.9, 32)",0.931,0.891,,
"('convnext-tiny', 0.0001, 0.9, 32)",0.931,0.896,,
"('convnext-tiny', 0.0001, 0.95, 64)",0.93,0.897,0.665,0.502
"('densenet121', 0.001, 32)",0.93,0.932,0.869,0.846
"('resnet50-wide', 0.0001, 0.9, 64)",0.93,0.904,0.902,0.813
"('convnext-base', 0.0001, 0.9, 32)",0.93,0.882,,
"('densenet121', 0.0001, 0.9, 32)",0.928,0.897,,
"('resnet18', 0.0001, 0.9, 32)",0.928,0.88,,
"('resnet50', 0.0005, 64)",0.928,0.919,0.837,0.813
"('resnet18', 0.0001, 0.9, 64)",0.927,0.883,0.921,0.757
"('resnet18', 0.0001, 0.95, 64)",0.927,0.886,0.914,0.851
"('resnet50-wide', 0.0005, 64)",0.926,0.933,0.846,0.841
"('resnet50', 0.001, 32)",0.922,0.881,0.832,0.903
"('resnet18', 0.001, 32)",0.921,0.925,0.891,0.88
"('resnet50-wide', 0.0005, 32)",0.917,0.881,0.884,0.822
"('vitb16', 0.001, 64)",0.915,0.828,0.5,0.596
"('vitb16', 0.001, 32)",0.915,0.788,0.5,0.5
"('vitb16', 0.0005, 32)",0.915,0.802,0.5,0.5
"('resnet50-wide', 0.001, 32)",0.912,0.895,0.865,0.828
"('resnet50-wide', 0.001, 64)",0.906,0.886,0.792,0.843
"('vitb16', 0.0005, 64)",0.901,0.821,0.602,0.5
"('resnet50', 0.001, 64)",0.894,0.916,0.833,0.828
"('convnext-tiny', 0.0005, 32)",0.612,0.892,0.5,0.5
"('convnext-tiny', 0.001, 64)",0.544,0.517,0.5,0.5
"('convnext-base', 0.001, 32)",0.5,,0.5,0.5
"('convnext-tiny', 0.001, 32)",0.5,0.5,0.5,0.5
"('convnext-tiny', 0.0005, 0.99, 32)",,0.926,0.588,0.5
"('densenet121', 0.0005, 0.95, 64)",,0.93,0.934,0.855
"('convnext-base', 0.0005, 0.95, 64)",,0.905,0.667,0.5
"('vitb16', 0.0005, 0.95, 32)",,,,0.797
"('convnext-base', 0.0001, 0.9, 64)",,0.895,0.685,0.547
"('convnext-base', 0.0005, 0.99, 64)",,0.921,,0.5
"('convnext-tiny', 0.0005, 0.9, 64)",,,,0.536
"('resnet50', 0.0005, 0.95, 64)",,0.928,0.927,0.86
"('resnet34', 0.0005, 0.95, 32)",,,,0.877
"('convnext-tiny', 0.0005, 0.95, 64)",,0.916,,
"('vitb16', 0.0001, 0.95, 64)",,0.916,0.886,0.794
"('resnet18', 0.001, 0.9, 32)",,,,0.869
"('convnext-base', 0.0005, 0.99, 32)",,0.924,0.577,0.5
"('resnet18', 0.001, 0.95, 32)",,,0.934,0.875
"('resnet50-wide', 0.0005, 0.99, 32)",,0.936,0.935,0.876
"('resnet34', 0.0005, 0.95, 64)",,0.923,0.916,0.877
"('resnet34', 0.0005, 0.99, 32)",,,0.94,0.887
"('resnet18', 0.0005, 0.95, 64)",,0.916,0.936,0.884
"('vitb16', 0.0005, 0.95, 64)",,0.933,0.9,0.809
"('resnet50-wide', 0.001, 0.95, 32)",,,0.934,0.867
"('convnext-base', 0.001, 0.95, 32)",,,0.608,0.55
"('vitb16', 0.0005, 0.99, 64)",,,,0.712
"('resnet18', 0.0005, 0.99, 32)",,,0.936,0.882
"('resnet50', 0.0005, 0.99, 32)",,,0.932,0.871
"('resnet34', 0.001, 0.95, 32)",,,0.938,0.883
"('densenet121', 0.0005, 0.99, 32)",,0.937,0.937,0.884
"('convnext-tiny', 0.0005, 0.99, 64)",,0.92,,
"('convnext-base', 0.0001, 0.99, 32)",,0.916,,
"('convnext-base', 0.0005, 0.9, 32)",,0.911,,
"('vitb16', 0.001, 0.9, 32)",,,,0.806
"('vitb16', 0.0005, 0.99, 32)",,,0.51,0.501
"('densenet121', 0.001, 0.95, 32)",,,0.933,0.877
"('vitb16', 0.0001, 0.99, 32)",,,,0.796
"('vitb16', 0.0005, 0.9, 64)",,,0.898,0.805
"('resnet50', 0.001, 0.9, 32)",,,,0.861
"('resnet50', 0.001, 0.95, 32)",,,0.93,0.871
"('resnet34', 0.001, 0.9, 32)",,,,0.874
"('resnet18', 0.0005, 0.95, 32)",,,,0.869
"('convnext-tiny', 0.0001, 0.9, 64)",,,0.611,0.54
"('resnet50', 0.0005, 0.95, 32)",,,,0.859
"('resnet50-wide', 0.0005, 0.95, 64)",,0.927,,
"('convnext-tiny', 0.001, 0.95, 32)",,,,0.55
"('vitb16', 0.0005, 0.9, 32)",,,,0.788
